A		RSMGL_SD	RSMGL_SD	RSMGL_SD	RSMGL_SD	RSMGL_SD
B		S12A	S12B	S12C	S12D	S333
C		FLOW	FLOW	FLOW	FLOW	FLOW
E						
F		SIMULATED	SIMULATED	SIMULATED	SIMULATED	SIMULATED
Units		FT^3/S	FT^3/S	FT^3/S	FT^3/S	FT^3/S
Type		PER-AVER	PER-AVER	PER-AVER	PER-AVER	PER-AVER
194	13Jul1965	0.0	0.0	0.0	0.0	51.2
195	14Jul1965	0.0	0.0	0.0	0.0	51.2
196	15Jul1965	0.0	0.0	0.0	0.0	51.2
197	16Jul1965	0.0	0.0	0.0	0.0	51.2
198	17Jul1965	0.0	0.0	0.0	0.0	0.0
199	18Jul1965	0.0	0.0	0.0	0.0	0.0
200	19Jul1965	0.0	0.0	0.0	0.0	0.0
201	20Jul1965	0.0	0.0	0.0	0.0	0.0
202	21Jul1965	0.0	0.0	0.0	0.0	0.0
203	22Jul1965	0.0	0.0	0.0	0.0	0.0
204	23Jul1965	0.0	0.0	0.0	0.0	0.0
205	24Jul1965	0.0	0.0	0.0	0.0	0.0
206	25Jul1965	0.0	0.0	0.0	0.0	0.0
207	26Jul1965	0.0	0.0	0.0	0.0	0.0
208	27Jul1965	0.0	0.0	0.0	0.0	0.0
209	28Jul1965	0.0	0.0	0.0	0.0	0.0
210	29Jul1965	0.0	0.0	0.0	0.0	0.0
211	30Jul1965	0.0	0.0	0.0	0.0	0.0
212	31Jul1965	0.0	0.0	0.0	0.0	169.0
213	01Aug1965	0.0	0.0	0.0	0.0	169.0
214	02Aug1965	0.0	0.0	0.0	0.0	169.0
215	03Aug1965	0.0	0.0	0.0	0.0	169.0
216	04Aug1965	0.0	0.0	0.0	0.0	169.0
217	05Aug1965	0.0	0.0	0.0	0.0	169.0
218	06Aug1965	0.0	0.0	0.0	0.0	169.0
219	07Aug1965	0.0	0.0	0.0	0.0	0.0
220	08Aug1965	0.0	0.0	0.0	0.0	0.0
221	09Aug1965	0.0	0.0	0.0	0.0	0.0
222	10Aug1965	0.0	0.0	0.0	0.0	0.0
223	11Aug1965	0.0	0.0	0.0	0.0	0.0
224	12Aug1965	0.0	0.0	0.0	0.0	0.0
225	13Aug1965	0.0	0.0	0.0	0.0	0.0
226	14Aug1965	0.0	0.0	0.0	0.0	932.6
227	15Aug1965	0.0	0.0	0.0	0.0	932.6
228	16Aug1965	0.0	0.0	0.0	0.0	932.6
229	17Aug1965	0.0	0.0	0.0	0.0	932.6
230	18Aug1965	0.0	0.0	0.0	0.0	932.6
231	19Aug1965	0.0	0.0	0.0	0.0	932.6
232	20Aug1965	0.0	0.0	0.0	0.0	932.6
233	21Aug1965	0.0	0.0	0.0	0.0	0.0
234	22Aug1965	0.0	0.0	0.0	0.0	0.0
235	23Aug1965	0.0	0.0	0.0	0.0	0.0
236	24Aug1965	0.0	0.0	0.0	0.0	0.0
237	25Aug1965	0.0	0.0	0.0	0.0	0.0
